,utc_off,ua_no,ua_name,prev_sat,cur_sat,ho_utc,avail_sats,MS11,MS12,MS13,MS14,MS15,MS16,MS21,MS22,MS23,MS24,MS25,MS26,MS31,MS32,MS33,MS34,MS35,MS36
169,15,4,Halifax,MS31,MS31,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
170,15,5,Hamilton,MS23,MS23,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
171,15,6,HimachalPradesh,MS12,MS12,None,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
172,15,7,Jarkhand,MS21,MS21,None,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
173,15,8,Mindenaa,MS26,MS26,None,4,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
174,15,9,Pretoria,MS16,MS16,None,6,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
175,15,10,Quito,MS24,MS24,None,4,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
176,16,0,CapeTown,MS11,MS11,None,5,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
177,16,1,Davao,MS13,MS13,None,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
178,16,2,Durban,MS25,MS25,None,6,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
179,16,3,Edmington,MS14,MS14,None,6,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0
180,16,4,Halifax,MS31,MS31,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
181,16,5,Hamilton,MS23,MS23,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
182,16,6,HimachalPradesh,MS12,MS12,None,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
183,16,7,Jarkhand,MS21,MS21,None,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
184,16,8,Mindenaa,MS26,MS26,None,4,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
185,16,9,Pretoria,MS16,MS16,None,6,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
186,16,10,Quito,MS24,MS24,None,4,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
187,17,0,CapeTown,MS11,MS11,None,5,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
188,17,1,Davao,MS13,MS13,None,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
189,17,2,Durban,MS25,MS25,None,6,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
190,17,3,Edmington,MS14,MS14,None,6,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0
191,17,4,Halifax,MS31,MS31,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
192,17,5,Hamilton,MS23,MS23,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
193,17,6,HimachalPradesh,MS12,MS12,None,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
194,17,7,Jarkhand,MS21,MS21,None,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
195,17,8,Mindenaa,MS26,MS26,None,4,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
196,17,9,Pretoria,MS16,MS16,None,6,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
197,17,10,Quito,MS24,MS24,None,4,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
198,18,0,CapeTown,MS11,MS11,None,5,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
199,18,1,Davao,MS13,MS13,None,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
200,18,2,Durban,MS25,MS25,None,6,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
201,18,3,Edmington,MS14,MS14,None,6,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0
202,18,4,Halifax,MS31,MS31,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
203,18,5,Hamilton,MS23,MS23,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
204,18,6,HimachalPradesh,MS12,MS12,None,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
205,18,7,Jarkhand,MS21,MS21,None,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
206,18,8,Mindenaa,MS26,MS26,None,4,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
207,18,9,Pretoria,MS16,MS16,None,6,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
208,18,10,Quito,MS24,MS24,None,4,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
209,19,0,CapeTown,MS11,MS11,None,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
210,19,1,Davao,MS13,MS13,None,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
211,19,2,Durban,MS25,MS25,None,6,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
212,19,3,Edmington,MS14,MS14,None,6,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0
213,19,4,Halifax,MS31,MS31,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
214,19,5,Hamilton,MS23,MS23,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
215,19,6,HimachalPradesh,MS12,MS12,None,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
216,19,7,Jarkhand,MS21,MS21,None,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
217,19,8,Mindenaa,MS26,MS26,None,4,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
218,19,9,Pretoria,MS16,MS16,None,6,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
219,19,10,Quito,MS24,MS24,None,4,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
220,20,0,CapeTown,MS11,MS11,None,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
221,20,1,Davao,MS13,MS13,None,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
